nasa_yuwe,nasa_yuwe_raw,spanish,english,pos,semantic_domain,notes,sources,n_sources
alku,alku,perro,dog,n,,"Hablante: Ananías Piñacué, 2012","living_dictionaries,swarthmore_talking",2
almun,almun,el almud,a dry or liquid unit of measurement,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
alpes,alpes,alverja (f),,,,,"broomva_train,paper_2024",2
altesa,altesa,artesa (batea típica) (f),,,,,"broomva_train,paper_2024",2
alum,alum,lobo (m),,,,,"broomva_train,paper_2024",2
am,am,el hacha,axe,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
amb,amb,"la era, el surco, la hilera","treshing floor, wrinkle, row",n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,broomva_train,living_dictionaries,paper_2024,swarthmore_talking",5
"amb-, ambu'mb-","amb-, ambu'mb-",echar (cosa molida) (v.t),,,,,"broomva_train,paper_2024",2
"amb-, ambu-","amb-, ambu-",ehcar (granos),to throw (grains),verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ambu'j-, ambu'ju-","ambu'j-, ambu'ju-",alzar era,"raise, lift threshing floor",verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ambu'ju-,ambu'ju-,alzar (era) (v.t),,,,,"broomva_train,paper_2024",2
ambu'mbu-,ambu'mbu-,echar (varias veces o varias cosas,to throw out,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"ambu’j-, ambu’ju-","ambu’j-, ambu’ju-",alzar era,,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
ambu’mbu-,ambu’mbu-,echar (varias veces o varias cosas,,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
"amby-, ambíi","amby-, ambíi",rebosar,to overflow,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
amu,amu,"el señor, patrón",man,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,broomva_train,living_dictionaries,paper_2024,swarthmore_talking",5
amwe'sh,amwe'sh,el rayo,"ray, beam, stripe",n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
amwe’sh,amwe’sh,el rayo,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
anayún,anayún,la altasara,plant used to wash clothes,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
and-,and-,enrollar (v.t),,,,,"broomva_train,paper_2024",2
"and-, andúu-","and-, andúu-","envolver, enrollar",to wrap,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
andni,andni,enrollado,wrapped,past participle,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
andtende-,andtende-,desenvolver,to unrwap,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
andy,andy,"yo, conmigo, mine","I, with me, mine","pronoun, posesive pronoun",,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
andy jíi,andy jíi,mío,,,,,paper_2024,1
andy jīi,andy jīi,mío (adj.pos),,,,,broomva_train,1
"andy yacj, ú'cue yacj","andy yacj, ú'cue yacj",conmigo,,,,,paper_2024,1
"andy yacj, ũ'cue yacj","andy yacj, ũ'cue yacj",conmigo,,,,,broomva_validation,1
"andy, ú'cue","andy, ú'cue","mí, mis",,,,,paper_2024,1
"andy, ũ'cue","andy, ũ'cue","mí, mis (adj.pos)",,,,,"broomva_test,broomva_train",2
"andy-, andyi-","andy-, andyi-",secar,to dry,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
andyi'j-,andyi'j-,secar (v.t),,,,,"broomva_train,paper_2024",2
"andyi'j-, andyi'ji","andyi'j-, andyi'ji",asolear,to expose to the sun,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"andyi’j-, andyi’ji","andyi’j-, andyi’ji",asolear,,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
animus,animus,"la ánima, la alma del difunto",soul,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
anz-,anz-,cubrir (con cobija) (v.t),,,,,"broomva_train,paper_2024",2
"anz-, anzúu-","anz-, anzúu-","cubrir, tapar (con cobija)",to cover with a blanket,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
anza,anza,el pájaro carpintero,woodpecker,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"anza, fytúu pagayú","anza, fytúu pagayú",carpintero,,,,,paper_2024,1
"anza, fytũu pagayũ","anza, fytũu pagayũ",carpintero (ave) (m),,,,,broomva_train,1
anzee-,anzee-,recostarse,"lay back, to lean back (one's self)",verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
anzh-,anzh-,pelar los dientes (perro) (v.i),,,,,"broomva_train,paper_2024",2
"anzh-, anzhi-","anzh-, anzhi-",pelar los dientes,to bare one's teeth (with anger),verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
anzu'nzu-,anzu'nzu-,mostrar los dientes (de contento),"to show teeth (happily), grin",verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
anzu-,anzu-,sonreir,to smile,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
anzu’nzu-,anzu’nzu-,mostrar los dientes (de contento),,verb intransitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
anzée-,anzée-,reclinar,,,,,paper_2024,1
anzẽe- (enzẽe-,anzẽe- (enzẽe-),reclinar (v.t),,,,,"broomva_train,broomva_validation",2
apas,apas,haba,bean (?),n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries,paper_2024,swarthmore_talking",4
ape,ape,el zapallo rayado,squash,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
ape-,ape-,agonizar,"to be dying, to agonize",verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
apj,apj,el zancudo,mosquito,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
apj le'ch,apj le'ch,el mosquito,mosquito,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries,paper_2024",3
apj le’ch,apj le’ch,el mosquito,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
apj-,apj-,cerrar (v.t),,,,,"broomva_train,broomva_validation,paper_2024",3
"apj-, apju-","apj-, apju-",escarbar,"to scratch, to pry into",verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"apj-, apjáa-","apj-, apjáa-","cerrar, tapar, cubrir","to close, to cover",verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"apj-, cha'mbu'mb-, wuw-","apj-, cha'mbu'mb-, wuw-",escarbar (v.t),,,,,"broomva_test,paper_2024",2
apjni,apjni,cerrado,closed,past participle,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries,paper_2024,swarthmore_talking",4
apjáa,apjáa,la tapa,top,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,paper_2024,swarthmore_talking",3
apjãa,apjãa,tapa (f),,,,,broomva_train,1
aqui'p-,aqui'p-,poner (encima de),,,,,"broomva_train,paper_2024",2
"aqui'p-, aqui'pu","aqui'p-, aqui'pu",poner encima de,to put on top of,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"aqui’p-, aqui’pu","aqui’p-, aqui’pu",poner encima de,,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
arendaí-,arendaí-,arrendar,,,,,paper_2024,1
arendaī-,arendaī-,arrendar (v.t),,,,,broomva_train,1
arendãy-,arendãy-,arrendar (terreno),"to rent out, to lease",verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
aroba,aroba,la arroba,measure (of weight or volume),n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ashnu,ashnu,el asno (mamífero),"donkey, ass",n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
at-,at-,coger (en la mano) (v.t),,,,,"broomva_train,paper_2024",2
"at-, atúu-","at-, atúu-","coger, llevar en la mano",to carry (in one's hands),verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"at-, yaat-","at-, yaat-",llevar en la mano,,,,,"broomva_train,paper_2024",2
atall,atall,la gallina,hen,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
atall cjas,atall cjas,la pluma (de gallina),feather (hen's),n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
atall cjas ujnde-,atall cjas ujnde-,desplumar (v.t),,,,,"broomva_test,paper_2024",2
atall ech,atall ech,el tigrillo,of the cat family (e.g. ocelot),n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
atall luuch,atall luuch,el pollo,chicken (meat),n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
atall pijts,atall pijts,gallo (m),,,,,"broomva_train,paper_2024",2
atall pits,atall pits,el gallo,rooster,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
atall u'y,atall u'y,la gallina,hen,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
atall u’y,atall u’y,la gallina,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
atall we'we-,atall we'we-,cantar (gallo) (v.i),,,,,"broomva_train,paper_2024",2
atall we'wetste,atall we'wetste,al canto de gallo,lit. at cockrow (at dawn),adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries,paper_2024",3
atall we’wetste,atall we’wetste,al canto de gallo,,adverbio,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
atall yat,atall yat,el gallinero,"henhouse, chicken coop",n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024,swarthmore_talking",4
"atall, atall u'y","atall, atall u'y",gallina (f),,,,,"broomva_validation,paper_2024",2
atate lem,atate lem,amarillento,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
atate tséy,atate tséy,azul celeste,,,,,paper_2024,1
atate tsẽy,atate tsẽy,azul celeste,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,swarthmore_talking",3
